Month,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2008-04-01,31.9,25.1,33.3,23.4,87.2,34.2,12,6,56,82
2008-03-01,30.1,24,32.7,21.8,294.1,48.1,16,4.3,61,87.1
2008-02-01,30.9,24,33.4,22.4,129.2,48.5,8,5.5,49,82.9
2008-01-01,30.7,24.3,33.5,22.9,262.6,123.1,19,6.1,55,86
2007-12-01,30.1,24.1,31.8,22.1,468.6,159,21,4.5,49,86.8
2007-11-01,30.8,24,33.5,22.1,367.9,60.1,21,3.5,55,86.5
2007-10-01,31.6,24.9,33.7,22.6,237.2,51.8,16,5.6,49,83.2
2007-09-01,31,25,32.6,23,149,52.1,13,5.8,53,83.3
2007-08-01,30.9,25,32.5,22.9,190.7,55.9,20,5.7,58,82.9
2007-07-01,30.6,25.1,33,22.6,141.7,23,19,3.9,57,84.8
2007-06-01,32.1,25.4,34,21.8,139,38,12,6,50,82.8
2007-05-01,31.6,25.3,33.4,22.7,127.2,21.9,16,5.5,60,84.8
2007-04-01,32,25.2,33.7,22.2,240.2,102.4,14,5.9,50,84.7
2007-03-01,31.5,24.6,33.5,22.5,269.1,68.8,21,5.8,47,84.9
2007-02-01,31.5,24.5,33.3,23.3,105.5,51.4,3,7.6,51,82.5
2007-01-01,29.8,24.2,32.7,23.1,450.1,143.8,20,4.1,55,86.8
2006-12-01,30,24.3,32.7,22.4,765.9,198,22,3.2,54,88.5
2006-11-01,31.4,24.5,33.2,23.5,185.6,64,18,5.6,59,87.4
2006-10-01,32.2,25.4,33.6,23.5,102,37.8,8,4.8,44,80.9
2006-09-01,31.4,25.4,32.8,22.7,83.3,32.2,12,5.3,49,81
2006-08-01,31.5,25.5,33.1,22.1,127.3,30.4,14,6.7,52,81.9
2006-07-01,31.5,25.7,33.1,22.6,153.8,54.8,15,6.9,58,83.8
2006-06-01,31,25.1,32.7,23,236.8,37.3,16,5.5,59,86.3
2006-05-01,32,25.4,33.8,23.6,205.7,36.6,14,5,52,85.2
2006-04-01,32.1,24.8,34.1,23.4,239.8,43.3,18,5.3,53,87
2006-03-01,33.1,25.2,34.6,23.6,83.1,35.7,9,7.1,48,81.3
2006-02-01,31.5,24.8,33.3,23.3,115.5,44.5,8,7.4,58,84
2006-01-01,30,24.1,32,22.1,454.4,131.7,20,4.8,56,87.8
2005-12-01,31,24.6,33.5,22,166,47.3,19,4.5,55,85.6
2005-11-01,30.8,24.4,33.6,22.6,362.9,133.8,23,4.4,56,86.4
2005-10-01,31.3,24.7,33,23,314.5,76.2,19,5.1,57,85.2
2005-09-01,32,25.2,33.1,21.8,175.7,43.4,18,6.2,53,84.2
2005-08-01,31.5,25.5,33.6,22.5,58.5,13.8,13,6.5,54,82.9
